	TCGA-BH-A0B5	TCGA-BH-A0C3	TCGA-A7-A13F	TCGA-BH-A18P	TCGA-AC-A2FM
LOC100506869	0.0195584	0	0	0	0
LOC102724604	0	0.022650738	0	0	0
LOC102724601	0.116809929	0.067678372	0.125842662	0.081284917	0.099761694
ATRX	8.745089307	6.711540964	5.470451805	9.893803959	5.38309823
LOC107986703	0.043465905	0	0	0	0
DISC1	0.349798491	0.839521733	0.311922771	0.41572077	0.377228667
TCOF1	8.157272436	4.346640158	6.796574917	6.266293051	6.327438443
SPPL3	14.73895496	8.88610333	11.18825572	13.0103089	14.49987006
OPA3	4.075292691	3.417341535	1.878229098	4.964803732	2.152263085
OPA1	12.84929957	12.47052118	9.472263386	16.55929639	13.50476357
RNF219-AS1	0.019235765	0.006686993	0.004144647	0.002141705	0.009387619
LOC105369748	0.111162747	0.07551102	0.074333043	0.029875109	0.108501383
ITGA8	1.585708748	1.965014748	0.629129725	1.142839159	0.716873417
ITGA9	2.694450266	5.361591526	1.894857974	2.324483479	2.338833957
ITGA1	2.488969742	7.502200057	3.350571032	4.002186324	3.45162319
ITGA2	29.2848103	4.493236438	7.332347565	8.691661589	0.811610116
ITGA3	9.26485839	7.915511072	17.39804325	4.711198178	11.4557609
ITGA4	1.294707442	2.779854235	2.937202125	1.641669325	1.061099193
ITGA5	18.97908899	17.539734	18.69654156	15.45402537	13.87882864
ITGA6	17.12822803	22.60694865	31.02500766	9.273035126	18.16817709
ITGA7	2.257792224	13.70856598	0.826038695	1.488795822	3.278416456
TRHR	0	0.011676334	0	0	0
UFSP1	0.526260394	1.632740731	0.676688589	0.963960772	1.772959328
UFSP2	7.934286059	9.532246855	7.02166756	11.33190665	7.952032444
LOC101928371	0.077427531	0.04486065	0.041707442	0.064655708	0.009446728
LOC101928372	0	0	0.008527961	0	0.023178981
FAM212A	1.073022745	2.053485458	1.050907227	0.814568662	2.253353556
CHST9	0.07777613	0.025507146	0.061657116	0.222207934	0.022917458
CHST8	0.121881133	6.779190872	13.36933964	0.141870412	4.461118434
CHST1	1.978623501	1.121042227	4.299916746	2.592713082	26.9806005
CHST3	3.23124418	2.555227531	2.524589757	2.295803274	1.482230989
CHST2	0.778620263	1.547932286	0.588373492	0.599855015	1.840518339
CHST5	0.035628435	0.011795839	0.010966722	0.005666944	0.019871685
CHST4	0.006335046	0.02936364	0.01364985	0.014106847	0.043283642
CHST7	0.989822535	1.523606029	0.867415489	0.518135418	1.564545778
CHST6	0.311451765	0.131868539	0.092487447	0.282306002	0.027281625
ITGAX	5.485496798	3.91636199	2.353572645	1.538194685	0.989179563
BCL2A1	2.468695788	1.385355772	0.585445716	2.039870751	0.530413414
ITGAV	36.68908318	26.68460298	23.06082866	41.29890341	9.790309272
ITGAL	3.984094826	7.253486015	2.006769486	2.245573709	3.419515708
ITGAM	11.92381422	4.17105452	2.92609179	1.771233502	0.789484686
ITGAD	0.475316575	0.910574064	0.111499565	0.064018092	0.127208518
COPRS	18.19524686	21.69994524	41.02354328	14.39526369	28.84643614
LOC285804	0.008657572	0.020064402	0	0	0
IGF2R	10.02746573	14.11618296	7.426288906	15.05945946	10.92296929
SLC36A4	0.820533968	1.434316793	2.014356402	0.732808079	0.703760294
SLC36A3	0	0.004282599	0	0	0.007214616
SLC36A2	0	0.036768264	0	0	0.003871319
SLC36A1	3.570593355	3.519983169	1.268315541	2.055171516	2.085391007
ARTN	0.763351566	1.341574777	16.52299233	0.070826136	1.248002383
ART1	0.011525724	0.026711505	0.111752916	0	0.089998279
ART3	0.04642286	0.053793776	0.005556963	0.264178461	0.025173024
ART5	0.219977066	0.417116497	0.312392686	0.089062504	0.243989274
ART4	0.074585626	0.255526743	0.013974473	0.018052922	0.031652157
CRTAM	0.619441961	0.476088886	0.163430806	0.351880128	0.111051148
CADPS2	12.912132	6.281077237	1.359510908	22.79167647	4.900878202
RLF	5.565695751	5.386005446	4.252085724	5.77486782	3.255240362
USP17L30	0	0	0	0	0
CRTAP	39.7109965	41.91912453	41.20916727	22.55414968	14.71135132
MDH1	22.46525302	22.21967085	24.35942579	22.96419783	18.0512516
HPYR1	0	0.079808101	0	0	0.302506946
CPEB4	5.463243694	6.286814776	11.27133467	5.802356694	9.005232706
CPEB1	0.26139332	0.305281773	0.594256162	0.03437417	0.068303929
CPEB3	1.661392125	1.089866795	0.696186271	1.645576651	1.440511689
CPEB2	7.343315496	5.81753462	8.370553424	4.928699692	5.45668804
SRBD1	5.670711065	4.846764159	4.693843973	6.295097129	2.476332986
ABAT	10.9546081	26.92614671	9.403232561	6.410436901	7.733444367
POU5F1B	0.104099221	0.032898507	0.023789193	0.235319836	0.394111869
LOC284865	0.007588975	0.035175743	0	0.016899091	0
PHOX2A	0	0.010982561	0	0	0.037003216
PHOX2B	0	0	0	0	0
NLRP14	0.009320969	0.010800931	0.005020872	0.010377942	0.004548907
UPK2	0.229316056	0.194865982	0.609386831	0.017021326	0.208904234
CFH	5.193911534	12.18391426	2.43770909	5.214306192	2.234903407
CFI	2.831857015	4.889373791	2.651269432	2.176480751	1.205283087
ANKFY1	6.287900388	6.05547922	4.539740595	7.054262041	5.798409245
CFB	18.94521113	5.328544294	3.430257649	43.64883915	0.165133425
CFP	0.295598552	0.702192692	0.306514608	0.172787292	0.306554181
RNU5B-1	0	0.168904214	0	0	0
AAAS	14.26453746	7.864617749	11.96479973	10.15435231	13.31282367
SIDT1	7.585630976	0.877547499	2.558337593	8.452828636	0.352182473
SIDT2	8.503568796	8.379035866	13.36074496	3.513306187	8.230771492
SAGE1	0	0	0	0.006375072	0.005588701
LVCAT8	0	0.262680685	0	0	0
UFD1	4.205769163	4.714314582	8.286320078	9.53778015	4.065406483
LVCAT5	0	0	0	0	0
LVCAT1	0.155725883	0.069404494	0	0	0
AAGAB	20.55191157	21.0292576	37.44369928	33.55011317	22.75949772
C4orf19	5.438714561	0.905375365	13.45464761	0.122332333	0.33960136
SLC7A6OS	1.004673627	1.085582297	0.807422289	1.424327931	1.002692428
C4orf17	0	0	0	0	0
INGX	0	0	0.014607639	0.030193403	0
RFPL4AL1	0	0	0	0	0
ETV3L	0.025670401	0.029746289	0	0	0.016703881
TEN1-CDK3	0.299299222	0.140739068	0.018692381	0.280113914	0.469954138
ZNF197-AS1	0.298540303	0.125797039	0.058477449	0.271958719	0.079470792
MKRN2OS	1.506857661	1.756825455	1.314639549	0.833719265	2.084359414
MSL3P1	0.014844809	0.051605502	0.111949146	0.082640855	0.137649366
MDC1-AS1	0	0	0	0	0
TBC1D8-AS1	0.50492718	0.498124291	0.257284255	0.486213704	0.273059247
ZNF117	6.506452885	3.337260354	1.458484784	4.472639659	4.300679872
ZNF114	0.098590304	0.126938055	0.123916498	0.042688406	0.160383231
ZNF112	3.128551164	1.705721865	1.297065676	2.382552182	0.947832387
SEZ6L	0.196304894	0.290508632	18.14692899	0.14746578	0.140818227
MIR6780B	0.214028319	0	0	0	0
MIR6780A	0	0	0	0	0
PRKAR2A	12.53611926	14.23757781	16.67215914	8.392743565	12.37260795
PRKAR2B	18.28266777	37.24373113	16.02207609	24.73310658	30.50345315
MAGT1	21.88472576	22.55882175	34.73801001	28.58298686	22.20258434
